setKey,slotKey,rarity,mainStatKey,level,location,lock,id,
,,,,,,,,
ObsidianCodex,flower,5,hp,0,,True,312,2.94
ObsidianCodex,flower,5,hp,0,,False,322,2.31
ObsidianCodex,flower,5,hp,0,,False,317,2.13
ObsidianCodex,flower,5,hp,0,,True,346,2.13
ObsidianCodex,flower,5,hp,0,,True,355,2.11
ObsidianCodex,flower,5,hp,0,,False,360,2.11
ObsidianCodex,flower,5,hp,0,,False,323,2.05
,,,,,,,,
ObsidianCodex,flower,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,plume,5,atk,0,,False,376,3.16
ObsidianCodex,plume,5,atk,0,,False,399,2.89
ObsidianCodex,plume,5,atk,0,,False,392,2.78
ObsidianCodex,plume,5,atk,0,,False,390,2.57
ObsidianCodex,plume,5,atk,0,,False,385,2.51
ObsidianCodex,plume,5,atk,4,,True,254,2.33
ObsidianCodex,plume,5,atk,4,Chongyun,True,257,2.23
ObsidianCodex,plume,5,atk,0,,True,425,2.22
,,,,,,,,
ObsidianCodex,plume,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,sands,5,atk_,0,,False,432,2.86
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,sands,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,goblet,5,pyro_dmg_,0,,False,504,2.35
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,goblet,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ObsidianCodex,circlet,5,critDMG_,0,,False,559,2.03
,,,,,,,,
ObsidianCodex,circlet,5,critDMG_,20,Chongyun,True,2,7.03
