ID,Roll Value
0,6.3
1,6.4
2,5.3
3,7.1
4,4.4
5,7.0
6,5.1
7,2.4
8,2.7
9,4.8
10,9.0
11,8.2
12,7.4
13,8.6
14,7.7
15,6.3
16,4.8
17,3.8
18,6.2
19,5.4
20,3.6
22,1.3
21,4.8
23,6.2
24,4.5
25,6.4
26,4.0
27,5.1
28,5.6
29,6.6
30,7.4
31,5.1
32,5.9
33,1.9
34,1.9
35,4.2
36,6.8
37,3.0
38,4.1
39,5.1
40,5.6
41,5.8
42,7.0
43,5.4
44,4.2
45,3.2
46,6.1
47,5.8
48,4.1
49,4.2
50,5.0
51,6.0
52,6.4
53,3.0
54,3.9
55,6.2
56,5.5
57,4.7
58,8.1
59,6.8
60,7.1
61,5.7
62,5.8
63,3.5
64,6.9
65,2.0
66,8.3
67,6.8
68,6.1
69,4.4
70,3.8
71,6.8
72,5.1
73,4.7
74,6.3
75,5.1
76,4.2
77,4.6
78,5.1
79,5.4
80,4.6
81,3.5
82,2.8
83,4.4
84,4.3
85,5.6
86,1.9
87,5.9
88,5.4
89,5.8
91,2.9
90,3.0
92,5.1
93,4.1
94,5.0
95,4.3
96,4.2
97,3.2
98,6.3
99,7.4
100,7.2
101,7.2
102,5.4
103,6.5
104,6.8
105,6.0
106,5.8
107,4.2
108,3.8
109,4.6
110,2.9
111,3.1
112,4.2
113,2.2
114,6.0
115,4.9
116,4.8
117,5.1
118,3.7
119,7.1
120,2.0
121,5.7
122,6.8
123,6.8
124,5.9
125,7.5
126,4.5
127,3.8
128,4.6
129,1.0
130,7.5
131,6.8
132,4.8
133,1.9
134,2.5
136,6.2
135,5.1
137,4.1
138,2.6
139,2.5
140,4.4
142,6.6
141,0.8
143,5.5
144,6.3
145,6.6
146,5.5
147,6.8
148,5.9
149,5.2
150,6.4
151,5.5
152,4.5
153,3.5
154,4.7
155,3.3
156,5.0
157,2.6
158,6.6
159,5.5
160,5.8
161,5.3
162,5.6
163,1.6
164,4.6
165,2.9
166,3.1
167,4.3
168,1.0
169,3.8
170,3.3
171,6.7
172,5.4
173,3.6
174,4.7
175,2.0
176,0.3
177,1.9
178,2.8
179,6.6
180,6.2
181,6.6
182,4.7
183,5.1
184,7.1
185,4.7
186,3.0
187,4.0
188,6.8
189,6.4
190,2.8
191,6.3
192,4.8
193,2.8
194,2.1
195,4.3
196,3.6
197,0.8
198,1.5
199,4.8
200,2.4
201,2.4
202,4.9
203,2.6
204,3.9
205,3.1
206,1.6
207,2.6
208,3.7
209,3.1
210,2.7
211,2.4
212,0.2
213,3.6
214,4.3
215,1.0
216,3.1
217,4.0
218,2.2
219,1.6
220,2.6
221,3.0
222,4.5
223,4.2
224,3.5
225,4.9
226,3.9
227,5.2
228,2.8
229,1.8
230,1.5
231,1.2
232,2.4
233,2.9
234,2.8
235,2.9
236,2.9
237,1.6
238,2.4
239,2.1
240,1.6
241,2.2
242,2.5
243,2.4
244,1.6
245,2.7
246,1.8
247,1.5
248,1.6
249,1.2
250,2.7
251,2.5
252,2.0
253,1.8
254,2.7
255,2.0
256,1.9
257,2.4
258,1.5
259,3.0
260,1.5
261,1.9
262,2.1
263,2.7
264,1.9
265,1.6
266,2.8
267,2.6
268,1.8
269,2.6
270,2.9
271,1.8
272,2.1
273,2.5
274,2.1
275,1.7
276,3.0
277,2.4
278,2.7
279,2.0
280,1.3
281,3.2
282,1.3
283,2.5
284,2.0
285,0.8
286,0.8
287,2.8
288,1.6
289,2.0
290,1.7
291,2.2
292,1.8
293,1.8
294,2.8
295,2.3
296,1.1
297,1.9
298,0.8
299,1.3
300,0.8
301,0.8
302,0.8
303,0.8
304,1.9
305,0.7
306,1.6
307,1.8
308,2.2
309,3.2
310,2.8
311,2.8
312,2.2
313,2.0
314,3.6
315,2.4
316,2.9
317,2.4
318,1.9
319,1.6
320,1.9
321,2.1
322,1.1
323,1.9
324,2.4
325,3.9
326,2.9
327,2.0
328,1.9
329,2.1
330,1.9
331,2.6
332,3.1
333,1.6
334,2.4
335,2.6
336,1.8
337,2.9
338,1.9
339,0.8
340,2.1
341,1.9
342,1.7
343,2.2
344,1.9
345,2.1
346,2.9
347,0.9
348,1.8
349,1.4
350,0.9
351,0.9
352,2.5
353,0.9
354,1.2
355,1.1
356,1.5
357,1.9
358,1.7
359,2.4
360,3.1
361,2.7
362,1.4
363,1.8
364,1.1
365,1.4
366,1.6
367,1.6
368,2.6
369,1.5
370,1.7
371,3.0
372,2.1
373,0.7
374,2.5
375,2.0
376,1.9
377,1.7
378,2.9
379,0.8
380,2.8
381,2.2
382,1.7
383,1.7
384,1.0
385,2.6
386,1.6
387,1.7
388,0.8
389,0.9
390,2.0
391,1.5
392,1.9
393,2.1
394,2.3
395,1.1
396,2.1
397,2.4
398,0.8
399,2.6
400,1.9
401,1.2
402,1.7
403,2.6
404,2.9
405,1.9
406,2.5
407,1.6
408,1.4
409,1.8
410,1.5
411,1.9
412,1.0
413,1.2
414,2.2
415,1.0
416,2.7
417,1.7
418,1.7
419,1.0
420,2.3
421,0.8
422,1.6
423,1.7
424,0.7
425,2.0
426,2.3
427,1.9
428,3.3
429,1.0
430,1.7
431,2.6
432,1.5
433,2.0
434,0.0
435,2.0
436,1.9
437,0.8
438,1.5
439,1.9
440,1.7
441,1.8
442,0.0
443,1.7
444,2.2
445,1.9
446,1.6
447,1.7
448,2.8
449,3.1
450,0.8
451,2.0
452,1.9
453,1.4
454,2.1
455,1.9
456,1.7
457,1.7
458,1.7
459,0.8
460,1.6
461,0.8
462,2.5
463,1.4
464,1.7
465,0.9
466,2.2
467,0.8
468,0.7
469,3.0
470,2.7
471,0.8
472,1.3
473,1.8
474,0.8
475,0.8
476,1.8
477,1.0
478,0.3
479,1.2
480,1.9
481,2.3
482,2.5
483,0.2
484,0.9
485,0.8
486,0.8
487,2.8
488,1.1
489,1.2
490,0.8
491,1.5
492,2.1
493,3.0
494,1.8
495,1.6
496,1.2
497,2.8
498,1.2
499,1.4
500,2.2
501,0.8
502,1.3
503,1.5
504,2.5
505,1.9
506,1.5
507,0.3
508,0.3
509,1.0
510,1.8
511,2.5
512,1.7
513,0.6
514,2.6
515,1.8
516,1.1
517,1.5
518,2.5
519,1.1
520,1.8
521,1.8
522,1.6
523,1.3
524,2.0
525,2.5
526,0.3
527,0.9
528,0.2
529,3.0
530,2.1
531,1.8
532,0.9
533,0.9
534,2.7
535,1.5
536,2.5
537,2.6
538,2.7
539,2.1
540,1.7
541,2.2
542,1.9
543,1.4
544,1.1
545,1.6
546,2.1
547,0.9
548,1.8
549,0.8
550,1.9
551,1.9
552,2.8
553,1.7
554,1.8
555,1.5
556,0.8
557,0.2
558,1.1
559,3.3
560,1.6
561,2.7
562,1.0
563,1.1
564,2.4
565,1.8
566,1.6
567,2.4
568,2.1
569,1.8
570,2.0
571,1.8
572,0.8
573,1.9
574,0.7
575,1.3
576,1.1
577,0.8
578,1.3
579,2.3
580,1.8
581,0.9
582,1.1
583,0.0
584,0.9
585,2.6
586,2.8
587,1.6
588,1.8
589,1.1
590,0.7
591,2.0
592,1.7
593,0.9
594,1.5
595,0.8
596,1.0
597,2.5
598,1.2
599,0.8
600,1.7
601,1.8
602,1.9
603,0.9
604,3.0
605,3.4
606,2.3
607,2.2
608,1.1
609,1.1
610,1.7
611,1.8
612,1.3
614,1.5
613,1.6
615,1.8
616,1.2
617,2.1
618,2.7
619,3.0
620,2.5
621,1.9
622,1.4
623,3.4
624,1.7
625,2.2
626,1.8
627,0.8
628,1.9
629,2.4
630,2.7
631,2.0
632,2.5
633,2.4
634,2.5
635,2.0
636,1.9
637,1.9
638,1.0
639,1.6
640,1.1
641,2.3
642,1.9
643,1.5
644,2.0
645,2.3
646,2.5
647,1.1
648,2.6
649,3.1
650,1.8
651,2.0
652,2.3
653,2.3
654,2.2
655,2.1
656,2.5
657,2.6
658,2.3
659,1.8
660,2.4
661,2.0
662,2.8
663,2.1
664,1.8
665,2.1
666,1.7
667,1.7
668,2.1
669,2.0
670,1.6
671,1.5
672,1.0
673,2.2
674,1.8
675,2.8
676,2.2
677,2.0
678,0.8
679,2.7
680,2.4
681,1.1
682,1.5
683,1.8
684,1.9
685,2.2
686,1.7
687,1.6
688,2.1
689,1.1
690,0.8
691,2.4
692,2.0
693,0.8
694,1.2
695,1.2
696,1.6
697,1.6
698,1.7
699,2.0
700,2.0
701,2.7
702,2.5
703,2.0
704,0.8
705,1.8
706,1.0
707,0.9
708,1.6
709,1.2
710,3.1
711,1.1
712,2.2
713,2.8
714,2.1
715,1.7
716,1.7
717,1.6
718,1.7
719,2.7
720,2.1
721,1.5
722,1.8
723,1.5
724,2.1
725,1.8
726,1.2
727,2.7
728,1.5
729,1.1
730,0.9
731,0.7
732,0.9
733,0.0
734,0.9
735,2.0
736,1.3
737,0.9
738,1.9
741,2.3
739,1.6
740,1.6
743,2.6
742,1.9
744,2.0
746,1.6
745,1.9
747,2.4
748,2.0
749,1.8
750,2.0
751,2.6
752,1.5
753,2.3
754,2.5
755,0.9
756,1.4
757,0.0
758,2.6
759,1.9
760,1.6
761,1.9
762,1.7
763,1.8
764,2.0
765,0.9
766,2.7
767,2.2
768,2.1
769,1.9
770,1.7
771,1.1
772,2.6
773,2.3
774,0.7
775,1.1
776,1.9
777,1.7
778,1.6
779,1.9
780,2.3
781,1.6
782,3.1
783,1.9
784,1.8
785,1.5
786,1.7
787,1.5
788,1.6
789,2.6
790,2.7
791,2.6
792,1.8
793,2.9
794,2.0
795,0.8
796,1.8
797,1.7
798,1.7
799,1.6
800,1.7
801,2.2
802,2.5
803,2.0
804,1.9
805,0.0
806,1.9
807,2.5
808,3.3
809,1.8
810,2.6
811,2.5
812,2.0
813,2.8
814,1.9
815,1.5
816,1.6
817,2.9
818,2.4
819,0.7
820,2.7
821,1.6
822,1.8
823,1.7
824,3.1
825,0.7
826,0.7
827,0.9
828,0.8
829,1.5
830,1.5
831,0.5
832,0.7
833,1.3
834,0.9
835,0.5
836,0.0
837,0.9
838,0.9
839,1.1
840,0.9
841,0.6
842,0.2
843,1.3
844,0.8
845,0.8
846,0.6
847,0.7
848,0.2
849,1.1
850,0.5
851,1.5
852,0.2
853,1.5
