ID,Roll Value
0,6.4
2,7.0
1,4.4
3,5.1
4,2.4
5,2.7
6,4.8
7,9.0
8,8.2
9,7.4
10,8.6
11,7.7
12,6.3
13,4.8
14,3.8
15,6.2
16,5.4
17,3.6
18,4.8
19,1.3
20,6.2
21,4.5
22,6.4
23,4.0
24,5.1
25,5.6
26,6.6
27,7.4
28,5.1
29,5.9
30,1.9
31,1.9
32,4.2
33,6.8
34,3.0
35,4.1
36,5.1
37,5.6
38,5.8
39,7.0
40,5.4
41,4.2
42,3.2
43,6.1
44,5.8
45,4.1
46,4.2
47,5.0
48,7.0
49,6.0
50,6.5
51,6.4
52,3.0
53,3.9
54,6.2
55,5.5
56,4.7
57,8.1
58,6.8
59,7.1
60,5.7
61,5.8
62,3.5
63,6.9
64,2.0
65,8.3
66,6.8
67,6.1
68,4.4
69,3.8
70,6.8
71,5.1
72,4.7
73,6.3
74,5.1
75,4.2
76,4.6
77,5.1
78,5.4
79,4.6
80,3.5
81,2.8
82,4.4
83,4.3
84,5.6
85,1.9
86,5.9
87,5.4
88,5.8
89,3.0
90,2.9
91,5.1
92,4.1
93,5.0
94,4.3
95,3.5
96,4.2
97,3.2
98,6.3
99,7.4
100,7.2
101,7.2
102,5.4
103,6.5
104,6.8
105,6.0
106,5.8
107,4.2
108,3.8
109,4.6
110,2.9
111,3.1
112,4.2
113,2.2
114,6.0
115,4.9
116,4.8
117,5.1
118,3.7
119,7.1
120,2.0
121,5.7
122,6.8
123,6.8
124,5.9
125,7.5
126,4.5
127,3.8
128,4.6
129,1.0
130,7.5
131,6.8
133,1.9
132,4.8
134,2.5
135,5.1
136,6.2
137,4.1
138,2.6
139,2.5
140,4.4
141,0.8
142,6.6
143,5.5
144,6.3
145,6.6
146,5.5
147,6.8
148,5.9
149,5.2
150,6.4
151,5.5
152,4.5
153,3.5
154,4.7
155,3.3
156,5.0
157,2.6
158,6.6
159,5.5
160,5.8
161,5.3
162,5.6
163,1.6
164,4.6
165,2.9
166,3.1
167,4.3
168,1.0
169,3.8
170,3.3
171,6.7
172,5.4
173,3.6
174,4.7
175,2.0
176,0.3
177,1.9
178,2.8
179,6.6
180,6.2
181,6.6
182,4.7
183,5.1
184,7.1
185,4.7
186,3.0
187,4.0
188,6.8
189,6.4
190,4.8
191,2.8
192,2.1
193,4.3
194,3.6
195,0.8
196,1.5
197,4.8
198,2.4
199,2.4
200,4.9
201,2.6
202,3.9
203,3.1
204,1.6
205,2.6
206,3.7
207,3.1
208,2.7
209,2.4
210,0.2
211,3.6
212,4.3
213,1.0
