setKey,slotKey,rarity,mainStatKey,level,location,lock,id

ObsidianCodex,flower,5,hp,20,Chongyun,True,0

key,value
enerRech_,11.0
hp_,8.7
critDMG_,19.4
critRate_,7.4

ObsidianCodex,circlet,5,critDMG_,20,Chongyun,True,2

key,value
eleMas,56.0
atk_,5.8
critRate_,12.1
enerRech_,4.5

ObsidianCodex,goblet,5,def_,20,Xilonen,True,1

key,value
atk,29.0
critRate_,7.0
critDMG_,14.8
enerRech_,12.3

ScrollOfTheHeroOfCinderCity,flower,5,hp,20,Xilonen,True,3

key,value
critDMG_,19.4
critRate_,2.7
enerRech_,10.4
hp_,9.3

ScrollOfTheHeroOfCinderCity,plume,5,atk,20,Xilonen,True,4

key,value
enerRech_,20.1
critDMG_,14.0
hp,269.0
def_,10.2

ScrollOfTheHeroOfCinderCity,sands,5,def_,20,Xilonen,True,5

key,value
critRate_,2.7
def,53.0
enerRech_,12.3
eleMas,40.0

ScrollOfTheHeroOfCinderCity,circlet,5,heal_,20,Xilonen,True,6

key,value
def,44.0
critRate_,9.3
def_,10.2
eleMas,44.0

GoldenTroupe,flower,5,hp,20,Furina,True,7

key,value
critRate_,7.0
eleMas,23.0
hp_,8.7
critDMG_,30.3

GoldenTroupe,flower,5,hp,20,Gorou,True,8

key,value
critDMG_,20.2
hp_,11.7
critRate_,6.6
atk_,10.5

GoldenTroupe,flower,5,hp,20,Thoma,True,9

key,value
atk_,8.7
critDMG_,13.2
eleMas,42.0
hp_,15.2

GoldenTroupe,plume,5,atk,20,Furina,True,10

key,value
atk_,4.1
hp_,4.7
critRate_,14.0
critDMG_,21.0

GoldenTroupe,plume,5,atk,20,Fischl,True,11

key,value
eleMas,42.0
critRate_,11.3
hp,239.0
critDMG_,14.0

GoldenTroupe,plume,5,atk,20,Traveler,True,12

key,value
critRate_,6.6
critDMG_,21.0
hp,448.0
hp_,4.7

GoldenTroupe,sands,5,hp_,20,Gorou,True,13

key,value
eleMas,42.0
atk,19.0
def,56.0
critDMG_,18.7

GoldenTroupe,sands,5,atk_,20,Traveler,True,14

key,value
hp,478.0
critRate_,7.4
def,56.0
critDMG_,7.8

GoldenTroupe,goblet,5,hydro_dmg_,20,Furina,True,15

key,value
atk,16.0
critDMG_,18.7
critRate_,6.2
hp_,10.5

GoldenTroupe,circlet,5,critDMG_,20,Furina,True,16

key,value
hp_,10.5
atk_,4.7
critRate_,10.5
atk,31.0

GoldenTroupe,circlet,5,critRate_,20,Fischl,True,17

key,value
critDMG_,13.2
atk,53.0
atk_,9.3
hp,209.0

FlowerOfParadiseLost,flower,5,hp,20,Barbara,True,18

key,value
def,35.0
enerRech_,5.8
eleMas,56.0
hp_,15.7

FlowerOfParadiseLost,flower,5,hp,20,Yaoyao,True,19

key,value
def,60.0
eleMas,16.0
hp_,4.1
enerRech_,23.3

FlowerOfParadiseLost,flower,5,hp,20,,True,20

key,value
enerRech_,4.5
hp_,5.8
eleMas,98.0
critDMG_,5.4

FlowerOfParadiseLost,plume,5,atk,20,,True,21

key,value
eleMas,65.0
hp,299.0
enerRech_,18.8
critDMG_,7.8

FlowerOfParadiseLost,sands,5,eleMas,20,,True,22

key,value
critDMG_,21.0
critRate_,3.9
atk_,11.1
hp,508.0

FlowerOfParadiseLost,circlet,5,eleMas,20,,True,23

key,value
atk_,12.8
critRate_,7.0
def,37.0
atk,19.0

